Date,Open,High,Low,Close,Volume
2/6/2023,102.69,104.7,102.21,103.47,"25,573,051"
2/3/2023,103.51,108.02,103.3,105.22,"36,823,422"
2/2/2023,106.79,108.82,106.54,108.8,"46,622,633"
2/1/2023,99.74,102.19,98.42,101.43,"26,392,570"
1/31/2023,97.86,99.91,97.79,99.87,"22,306,779"
1/30/2023,98.75,99.41,97.52,97.95,"24,365,141"
1/27/2023,99.05,101.58,98.97,100.71,"29,020,350"
1/26/2023,98.28,99.21,96.82,99.16,"24,542,061"
1/25/2023,97.2,97.72,95.26,96.73,"31,000,850"
1/24/2023,99.55,101.09,98.7,99.21,"27,391,369"
1/23/2023,99.13,101.4,98.75,101.21,"31,791,779"
1/20/2023,95.95,99.42,95.91,99.28,"53,704,762"
1/19/2023,91.39,94.4,91.38,93.91,"28,707,650"
1/18/2023,92.94,93.59,91.4,91.78,"19,641,619"
1/17/2023,92.78,92.97,90.84,92.16,"22,935,820"
1/13/2023,91.53,92.98,90.93,92.8,"18,630,711"
1/12/2023,92.4,92.62,90.57,91.91,"22,754,221"
1/11/2023,90.06,92.45,89.74,92.26,"25,998,840"
1/10/2023,86.72,89.48,86.7,89.24,"22,855,590"
1/9/2023,89.2,90.83,88.58,88.8,"22,996,680"
1/6/2023,87.36,88.47,85.57,88.16,"26,612,631"
1/5/2023,88.07,88.21,86.56,86.77,"23,136,080"
1/4/2023,91.01,91.24,87.8,88.71,"27,046,480"
1/3/2023,89.83,91.55,89.02,89.7,"20,738,461"
12/30/2022,87.37,88.83,87.03,88.73,"19,190,301"
12/29/2022,87.03,89.37,86.99,88.95,"18,280,660"
12/28/2022,87.5,88.52,86.37,86.46,"17,879,570"
12/27/2022,89.31,89.5,87.54,87.93,"15,470,870"
12/23/2022,87.62,90.1,87.62,89.81,"17,815,010"
12/22/2022,88.93,89.18,86.94,88.26,"23,656,070"
12/21/2022,89.73,90.92,88.91,90.25,"20,336,391"
12/20/2022,88.73,89.78,88.04,89.63,"21,976,850"
12/19/2022,90.88,91.2,88.93,89.15,"23,020,539"
12/16/2022,91.2,91.75,90.01,90.86,"48,485,512"
12/15/2022,93.54,94.03,90.43,91.2,"28,298,760"
12/14/2022,95.54,97.22,93.94,95.31,"26,452,939"
